flux wave error
-0.03647509962320328 1201.6398172991624 1.5041965525597334e-05
-0.04719879478216171 1201.6932713698172 8.682000043336302e-06
-0.03271489962935448 1201.7467250930024 1.2878448615083471e-05
-0.06645308434963226 1201.8001784687242 9.578508070262615e-06
-0.08172691613435745 1201.8536314969901 8.317798346979544e-06
-0.032568447291851044 1201.9070841778068 1.2455975593184121e-05
-0.03185734525322914 1201.9605365111804 1.0895024388446473e-05
-0.09210620075464249 1202.0139884971181 8.697226803633384e-06
-0.026530252769589424 1202.067440135627 1.2452514056349173e-05
-0.06542558968067169 1202.1208914267136 9.927461178449448e-06
-0.026431944221258163 1202.1743423703845 1.2170728041382972e-05
-0.059986889362335205 1202.2277929666466 8.943422471929807e-06
-0.04955656826496124 1202.2812432155067 1.0733004273788538e-05
-0.03325406834483147 1202.3346931169717 1.276790862902999e-05
-0.08473668247461319 1202.388142671048 8.70161602506414e-06
-0.03283201530575752 1202.4415918777427 1.2256626177986618e-05
-0.1087130531668663 1202.4950407370625 9.650236279412638e-06
-0.06965223699808121 1202.5484892490142 9.92469176708255e-06
-0.03172174468636513 1202.6019374136047 1.0205902071902528e-05
-0.07588417828083038 1202.6553852308402 1.0458260476298165e-05
-0.026028309017419815 1202.7088327007282 1.7142490833066404e-05
-0.08698029816150665 1202.7622798232749 1.2403939763316885e-05
-0.06957914680242538 1202.8157265984876 8.211434760596603e-06
-0.03851482272148132 1202.8691730263727 1.130174769059522e-05
-0.04965062066912651 1202.922619106937 8.5031706476002e-06
-0.11584536731243134 1202.9760648401873 7.932901098683942e-06
-0.0233402531594038 1203.0295102261305 1.4325251868285704e-05
-0.07571306824684143 1203.0829552647729 9.051694178197067e-06
-0.06812874227762222 1203.136399956122 8.949784387368709e-06
-0.038779716938734055 1203.1898443001842 1.1082475793955382e-05
-0.06098155677318573 1203.2432882969663 1.2144247193646152e-05
-0.05822199583053589 1203.2967319464751 1.1050376087951008e-05
-0.03229488804936409 1203.350175248717 1.0098799066327047e-05
-0.0319894440472126 1203.4036182036994 9.70047949522268e-06
-0.0365494005382061 1203.4570608114288 1.1382349839550443e-05
-0.04098969325423241 1203.510503071912 1.3760780348093249e-05
-0.09713160991668701 1203.563944985155 7.564437964902027e-06
-0.03614693135023117 1203.6173865511662 9.236999176209792e-06
-0.06714329868555069 1203.6708277699508 9.136510016105603e-06
-0.04880974441766739 1203.7242686415163 8.901100954972208e-06
-0.03361458331346512 1203.7777091658695 1.4617389751947485e-05
